id	m_country_code	m_province_code	current_salary	m_current_currency_code	expected_salary	m_currency_code	years_of_experience	is_full_registration	vn_job_category_code	vn_job_sub_category_code	vn_job_category_code	vn_job_sub_category_code	m_position_code	m_country_code	m_province_code
106782	VN	VN-HN	1200	USD	1200	USD	5	1	13	70	13	74	4	VN	VN-HN
106782	VN	VN-HN	1200	USD	1200	USD	5	1	13	73	13	74	4	VN	VN-HN
106782	VN	VN-HN	1200	USD	1200	USD	5	1	13	73	13	74	4	VN	VN-HN
106782	VN	VN-HN	1200	USD	1200	USD	5	1	13	74	13	74	4	VN	VN-HN
106782	VN	VN-HN	1200	USD	1200	USD	5	1	13	74	13	74	4	VN	VN-HN
106782	VN	VN-HN	1200	USD	1200	USD	5	1	12	65	13	74	4	VN	VN-HN
106782	VN	VN-HN	1200	USD	1200	USD	5	1	12	65	13	74	4	VN	VN-HN
106797	NULL	NULL	28000000	VND	31000000	VND	7	1	4	18	NULL	NULL	NULL	VN	VN-SG
106799	VN	VN-HN	10000000	VND	10000000	VND	13	1	14	83	NULL	NULL	NULL	VN	VN-HN
106812	VN	VN-SG	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	10	48	1	NULL	NULL
106814	VN	VN-57	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	13	74	1	NULL	NULL
106814	VN	VN-57	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	13	74	1	NULL	NULL
106815	VN	VN-SG	9000000	VND	9000000	VND	10	0	15	90	15	90	1	VN	VN-SG
106819	VN	VN-57	14000000	VND	14000000	VND	4	1	4	18	4	18	2	VN	VN-57
106825	VN	VN-DN	3500	VND	NULL	VND	3	0	6	25	NULL	NULL	NULL	VN	VN-DN
106826	VN	VN-68	8000000	VND	16000000	VND	3	0	14	76	NULL	NULL	NULL	VN	VN-68
106826	VN	VN-68	8000000	VND	16000000	VND	3	0	14	76	NULL	NULL	NULL	VN	VN-HN
106827	VN	VN-HN	22000000	VND	23500000	VND	8	1	12	59	NULL	NULL	NULL	VN	VN-56
106827	VN	VN-HN	22000000	VND	23500000	VND	8	1	12	59	NULL	NULL	NULL	VN	VN-66
106827	VN	VN-HN	22000000	VND	23500000	VND	8	1	12	59	NULL	NULL	NULL	VN	VN-HN
106827	VN	VN-HN	22000000	VND	23500000	VND	8	1	12	66	NULL	NULL	NULL	VN	VN-56
106827	VN	VN-HN	22000000	VND	23500000	VND	8	1	12	66	NULL	NULL	NULL	VN	VN-66
106827	VN	VN-HN	22000000	VND	23500000	VND	8	1	12	66	NULL	NULL	NULL	VN	VN-HN
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	62	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	62	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	62	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	62	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	62	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	59	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	59	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	59	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	59	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	58	12	59	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	62	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	62	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	62	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	62	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	62	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	59	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	59	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	59	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	59	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	59	12	59	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	62	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	62	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	62	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	62	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	62	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	59	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	59	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	59	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	59	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	60	12	59	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	62	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	62	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	62	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	62	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	62	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	59	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	59	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	59	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	59	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	62	12	59	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	62	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	62	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	62	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	62	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	62	2	VN	VN-SG
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	59	2	VN	VN-39
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	59	2	VN	VN-41
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	59	2	VN	VN-43
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	59	2	VN	VN-57
106848	VN	VN-SG	25000000	VND	25000000	VND	8	1	12	66	12	59	2	VN	VN-SG
106850	VN	VN-SG	10000000	VND	13000000	VND	9	0	9	43	NULL	NULL	NULL	VN	VN-SG
106857	VN	VN-SG	1000	VND	NULL	VND	NULL	0	8	39	NULL	NULL	NULL	VN	VN-35
106857	VN	VN-SG	1000	VND	NULL	VND	NULL	0	8	40	NULL	NULL	NULL	VN	VN-35
106857	VN	VN-SG	1000	VND	NULL	VND	NULL	0	8	41	NULL	NULL	NULL	VN	VN-35
106882	VN	VN-57	16000000	VND	18000000	VND	5	1	12	62	NULL	NULL	NULL	VN	VN-57
106882	VN	VN-57	16000000	VND	18000000	VND	5	1	12	65	NULL	NULL	NULL	VN	VN-57
106883	VN	VN-SG	20000000	VND	10000000	VND	2	0	13	74	NULL	NULL	NULL	VN	VN-SG
106899	VN	VN-SG	9500	VND	15000	VND	4	1	13	73	13	73	1	VN	VN-SG
106899	VN	VN-SG	9500	VND	15000	VND	4	1	13	73	3	10	1	VN	VN-SG
106911	VN	VN-SG	7500000	VND	90000000	VND	9	1	4	18	NULL	NULL	NULL	VN	VN-SG
106913	VN	VN-SG	1200	USD	1400	USD	11	0	14	82	NULL	NULL	NULL	VN	VN-SG
106914	VN	VN-SG	27000000	VND	30000000	VND	NULL	1	10	48	NULL	NULL	NULL	VN	VN-SG
106914	VN	VN-SG	27000000	VND	30000000	VND	NULL	1	10	49	NULL	NULL	NULL	VN	VN-SG
106914	VN	VN-SG	27000000	VND	30000000	VND	NULL	1	10	50	NULL	NULL	NULL	VN	VN-SG
106914	VN	VN-SG	27000000	VND	30000000	VND	NULL	1	10	52	NULL	NULL	NULL	VN	VN-SG
106916	VN	VN-SG	600	USD	700	VND	3	1	15	85	15	85	1	VN	VN-39
106916	VN	VN-SG	600	USD	700	VND	3	1	15	85	15	85	1	VN	VN-57
106916	VN	VN-SG	600	USD	700	VND	3	1	15	85	15	85	1	VN	VN-SG
106916	VN	VN-SG	600	USD	700	VND	3	1	15	86	15	85	1	VN	VN-39
